Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15947816	9835808	7667886	433479	555799	0	0	0	0	159344	0	0	0	0	382186	465088	172026	77.95888248326929	9835808.0	9280009.0	94.35	555799.0	5.65	SRX15947816_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9835808.0	0.0	20-51	55.0	32.68544993117181	50.49724232111892	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		2.6	9875635	2908352	9875635	503657385	320295	498197739	1.0839999893975545			0.655	0.1628	0.1822
UV_control_1	12751861	9606809	645489	772288	0	0	0	0	320644	0	0	0	0	520098	614831	271702	75.33652539029401	12751861.0	11979573.0	93.94	772288.0	6.06	UV_control_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12751861.0	0.0	20-51	55.0	29.79161377909227	50.55959659535185	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	2.6	12780501	3752682	12780501	651805551	370755	645694918	0.9374932432878282			0.6367	0.1683	0.195
UV_control_2	9071300	5472149	985377	292833	0	0	0	0	118902	0	0	0	0	1797486	312160	92393	60.32375734459229	9071300.0	8778467.0	96.77	292833.0	3.23	UV_control_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9071300.0	0.0	20-51	55.0	22.76018041225637	50.50556557494516	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9087374	2879447	9087374	463456074	217615	458810730	1.002326705939342			0.526	0.1446	0.3293
UV_control_3	11668109	6807732	2211302	326514	0	0	0	0	236623	0	0	0	0	1522657	406032	157249	58.3447754901844	11668109.0	11341595.0	97.2	326514.0	2.8	UV_control_3_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11668109.0	0.0	20-51	54.0	14.467384260710675	50.49652724361763	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass	2.6	11690204	3906140	11690204	596200404	274275	590201606	1.006171408095859			0.472	0.0922	0.4358
UV_exposure_2	12588392	7692292	1529833	396387	0	0	0	0	167318	0	0	0	0	2270583	423775	108204	61.10623183644106	12588392.0	12192005.0	96.85	396387.0	3.15	UV_exposure_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12588392.0	0.0	20-51	54.0	20.95715543271836	50.51593197923928	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	12616750	4059709	12616750	643454250	311084	636598519	1.065457412084853			0.535	0.1233	0.3416
UV_exposure_3	11329696	6778373	2150448	255763	0	0	0	0	162170	0	0	0	0	1505221	358895	118826	59.82837491844442	11329696.0	11073933.0	97.74	255763.0	2.26	UV_exposure_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11329696.0	0.0	20-51	54.0	16.882177083410525	50.52537473203164	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	2.6	11349970	3309754	11349970	578848470	1376820	572671004	1.0671991583565903			0.4113	0.0955	0.4932
dark_4h_0110_KO_1	13340092	9272653	1709579	639678	0	0	0	0	103967	0	0	0	0	851427	602758	160030	69.50966305179904	13340092.0	12700414.0	95.2	639678.0	4.8	dark_4h_0110_KO_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13340092.0	0.0	20-51	53.0	25.05554430510335	50.5183265602666	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	13365428	4195893	13365428	681636828	1356835	673756498	1.1560892364225366			0.509	0.1861	0.305
dark_4h_0110_KO_2	11099544	7642854	1318376	520367	0	0	0	0	154294	0	0	0	0	786493	515958	161202	68.8573692757108	11099544.0	10579177.0	95.31	520367.0	4.69	dark_4h_0110_KO_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11099544.0	0.0	20-51	52.0	26.898982193791948	50.50827844819571	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	11123179	3474675	11123179	567282129	344772	561476610	1.0233918368332735			0.527	0.1748	0.2982
dark_4h_0616_KO_1	10454277	7678211	610703	698131	0	0	0	0	275358	0	0	0	0	471156	507719	212999	73.44564334769397	10454277.0	9756146.0	93.32	698131.0	6.68	dark_4h_0616_KO_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10454277.0	0.0	20-51	54.0	31.443454073224803	50.55096560001232	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	2.6	10475440	3239907	10475440	534247440	1406369	528208512	1.130361616707045			0.6279	0.1752	0.1969
dark_4h_0616_KO_2	12451307	8774752	1207361	587122	0	0	0	0	172466	0	0	0	0	891248	600912	217446	70.47253754164122	12451307.0	11864185.0	95.28	587122.0	4.72	dark_4h_0616_KO_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12451307.0	0.0	20-51	53.0	27.903748914295	50.50293643872085	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	12470397	3811741	12470397	635990247	346078	630177491	0.9139693615458856			0.5207	0.1916	0.2876
dark_4h_1684_KO_1	10173270	3634626	1572232	465930	0	0	0	0	183629	0	0	0	0	3960647	303980	52226	35.727214553432674	10173270.0	9707340.0	95.42	465930.0	4.58	dark_4h_1684_KO_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10173270.0	0.0	20-51	52.0	24.64411767520938	50.49493122663608	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	10199103	3261662	10199103	520154253	287998	514420839	1.1022526427367303			0.532	0.1428	0.3252
dark_4h_1684_KO_2	7633047	2847611	643969	403988	0	0	0	0	108513	0	0	0	0	3365280	230533	33153	37.30634699354006	7633047.0	7229059.0	94.71	403988.0	5.29	dark_4h_1684_KO_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7633047.0	0.0	20-51	53.0	32.061160997643256	50.45091377008421	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	7653084	2420076	7653084	390307284	981467	385145819	1.3224106265974784			0.54	0.1499	0.3101
km_LL_1	11744332	6172690	1418613	419860	0	0	0	0	187840	0	0	0	0	3040454	399557	105318	52.558885426604085	11744332.0	11324472.0	96.42	419860.0	3.58	km_LL_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11744332.0	0.0	20-51	53.0	22.71594853004481	50.50472066014483	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	11768207	3680353	11768207	600178557	891873	593395062	1.1302461443986576			0.4788	0.1383	0.3829
km_LL_2	12923458	9732601	1169042	497807	0	0	0	0	126632	0	0	0	0	646114	560407	190855	75.30957271652835	12923458.0	12425651.0	96.15	497807.0	3.85	km_LL_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12923458.0	0.0	20-51	54.0	24.39032041779954	50.527549979270255	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	12942231	3980942	12942231	660053781	1136743	653090039	1.0550264539731498			0.5344	0.1565	0.3091
km_dark_4h_1	9885299	6002771	1683514	646008	0	0	0	0	249288	0	0	0	0	733776	400823	169119	60.72422290919071	9885299.0	9239291.0	93.46	646008.0	6.54	km_dark_4h_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9885299.0	0.0	20-51	52.0	26.640656880465	50.41404230666164	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9934978	3325445	9934978	506683878	1043884	499008980	1.514731044985015			0.5588	0.1756	0.2657
km_dark_4h_2	12892591	9119247	950653	821997	0	0	0	0	201907	0	0	0	0	976118	593354	229315	70.73246176815816	12892591.0	12070594.0	93.62	821997.0	6.38	km_dark_4h_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12892591.0	0.0	20-51	51.0	24.17998589531535	50.459675018000645	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	12945821	4082816	12945821	660236871	461590	651704263	1.2923555733984449			0.4941	0.2	0.3059
light_0110_KO_1	12295793	7045689	1364789	393912	0	0	0	0	160983	0	0	0	0	2784705	429935	115780	57.30162340891718	12295793.0	11901881.0	96.8	393912.0	3.2	light_0110_KO_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12295793.0	0.0	20-51	54.0	21.99774727955934	50.49866210337145	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	12317661	3868570	12317661	628200711	324490	621803091	1.0184038139364664			0.4944	0.1454	0.3602
light_0110_KO_2	13686087	10158216	1432948	394505	0	0	0	0	161993	0	0	0	0	737997	591685	208743	74.22293895983564	13686087.0	13291582.0	97.12	394505.0	2.88	light_0110_KO_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13686087.0	0.0	20-51	54.0	22.24403533622651	50.531665186696536	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	13711958	4173322	13711958	699309858	1582915	691710972	1.0866264665183656			0.5285	0.1736	0.2978
light_0616_KO_1	9562722	7166745	379061	545223	0	0	0	0	342947	0	0	0	0	418451	476708	233587	74.94461305055192	9562722.0	9017499.0	94.3	545223.0	5.7	light_0616_KO_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9562722.0	0.0	20-51	54.0	34.318535549378176	50.49147794947924	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	2.6	9584803	2984276	9584803	488824953	1380867	483127953	1.1654478694339483			0.6086	0.1658	0.2256
light_0616_KO_2	12919964	9628753	849803	809665	0	0	0	0	161327	0	0	0	0	636291	613607	220518	74.52615967041393	12919964.0	12110299.0	93.73	809665.0	6.27	light_0616_KO_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12919964.0	0.0	20-51	54.0	29.76896827246659	50.51241737206079	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	12942738	3892832	12942738	660079638	383003	653860506	0.942179040523592			0.5608	0.1709	0.2683
light_1684_KO_1	14194683	10296574	1691258	528613	0	0	0	0	198258	0	0	0	0	629677	601560	248743	72.53824548248102	14194683.0	13666070.0	96.28	528613.0	3.72	light_1684_KO_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14194683.0	0.0	20-51	54.0	23.07540929724449	50.53063108207488	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	14216602	4323508	14216602	725046702	1348342	717389591	1.0560852120116255			0.5431	0.1571	0.2998
light_1684_KO_2	10487002	6280420	1670989	284824	0	0	0	0	161602	0	0	0	0	1641072	344106	103989	59.88765902781367	10487002.0	10202178.0	97.28	284824.0	2.72	light_1684_KO_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10487002.0	0.0	20-51	54.0	19.47785410957788	50.52539486499573	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	10508725	3251413	10508725	535944975	251842	530713062	0.976203387297362			0.5754	0.1268	0.2978
post_uv_2hrs_1	10177084	5645014	2364033	394365	0	0	0	0	202073	0	0	0	0	1102199	328250	141150	55.46789237467236	10177084.0	9782719.0	96.12	394365.0	3.88	post_uv_2hrs_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10177084.0	0.0	20-51	54.0	14.162801610381068	50.51468799903784	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	2.6	10203070	3376983	10203070	520356570	234066	515341788	0.9637203197030836			0.4255	0.0589	0.5156
post_uv_2hrs_2	8780357	6895060	295433	476437	0	0	0	0	167431	0	0	0	0	335034	421765	189197	78.52824207489513	8780357.0	8303920.0	94.57	476437.0	5.43	post_uv_2hrs_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8780357.0	0.0	20-51	55.0	35.49972776791044	50.55517605947002	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	pass	2.6	8803111	2649590	8803111	448958661	1340356	443817822	1.1450584311146634			0.6363	0.1816	0.182
post_uv_2hrs_3	9835808	7667848	433479	555799	0	0	0	0	159386	0	0	0	0	382186	465087	172023	77.9584961398189	9835808.0	9280009.0	94.35	555799.0	5.65	post_uv_2hrs_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9835808.0	0.0	20-51	55.0	32.68544993117181	50.49724232111892	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9875635	2908352	9875635	503657385	320295	498197739	1.0839999893975545			0.655	0.1628	0.1822
post_uv_control_1	9492312	5128005	2275192	336105	0	0	0	0	167677	0	0	0	0	1171318	299182	114833	54.02271859584894	9492312.0	9156207.0	96.46	336105.0	3.54	post_uv_control_1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9492312.0	0.0	20-51	54.0	18.86914973215748	50.46979903315441	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	2.6	9519981	3082767	9519981	485519031	232148	480465162	1.040920886168106			0.4746	0.0976	0.4278
post_uv_control_2	11149945	8723919	240119	651676	0	0	0	0	338235	0	0	0	0	369672	522933	303391	78.24181195512624	11149945.0	10498269.0	94.16	651676.0	5.84	post_uv_control_2_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11149945.0	0.0	20-51	55.0	32.40555517478276	50.55201330589523	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	pass	2.6	11189687	3346240	11189687	570674037	2142860	563707367	1.220779209901221			0.641	0.1734	0.1856
wt_LL_1	9000373	4615696	899592	316848	0	0	0	0	190120	0	0	0	0	2600051	304509	73557	51.28338569968156	9000373.0	8683525.0	96.48	316848.0	3.52	wt_LL_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9000373.0	0.0	20-51	53.0	24.79771766135796	50.50872469396546	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	9009004	2808330	9009004	459459204	646006	454718034	1.0319022796200203			0.5229	0.129	0.3481
wt_LL_2	10369652	5539628	1001100	392619	0	0	0	0	152508	0	0	0	0	2853643	347264	82890	53.421542015103306	10369652.0	9977033.0	96.21	392619.0	3.79	wt_LL_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10369652.0	0.0	20-51	52.0	24.871237354492337	50.5050275554088	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	2.6	10386850	3311471	10386850	529729350	310730	524046328	1.072816146585044			0.4302	0.1318	0.438
wt_dark_4h_1	11921051	8242220	1233055	665954	0	0	0	0	206466	0	0	0	0	839241	527762	206353	69.14004478296418	11921051.0	11255097.0	94.41	665954.0	5.59	wt_dark_4h_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11921051.0	0.0	20-51	52.0	23.53951886525609	50.4957151009588	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	11953769	3722615	11953769	609642219	400117	602472991	1.1759730177086047			0.5411	0.1649	0.294
wt_dark_4h_2	10582305	3794025	1002266	539907	0	0	0	0	223089	0	0	0	0	4619563	331905	71550	35.85253874274083	10582305.0	10042398.0	94.9	539907.0	5.1	wt_dark_4h_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10582305.0	0.0	20-51	52.0	26.977419899994725	50.45663236884592	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	10608746	3451249	10608746	541046046	965398	534232088	1.2594044537200075			0.5054	0.1576	0.337
