Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590299	6402403	4660541	26418	122164	0	0	0	0	0	0	0	0	0	1295472	292921	4887	72.79362139496686	6402403.0	6280239.0	98.09	122164.0	1.91	SRX15590299_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6402403.0	0.0	20-100	54.0	24.975614484298877	95.8715838412546	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6570183	1991471	6570183	657018300	37493415	616731784	6.131719009957561	0.0	0.0	1.0		
SRX15590300	7040958	5112274	23793	131967	0	0	0	0	0	0	0	0	0	1445305	325093	2526	72.60764799335546	7040958.0	6908991.0	98.13	131967.0	1.87	SRX15590300_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7040958.0	0.0	20-100	55.0	24.19851093533663	95.88812459895372	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7240321	2194942	7240321	724032100	41444218	678330196	6.312137818198944	0.0	0.25	0.75		
SRX15590301	7521525	5757946	33721	122809	0	0	0	0	0	0	0	0	0	1246156	354654	6239	76.55290649170215	7521525.0	7398716.0	98.37	122809.0	1.63	SRX15590301_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7521525.0	0.0	20-100	55.0	24.16185439501477	95.86829452803786	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7709268	2301137	7709268	770926800	43294110	724440542	6.029918534418573					
SRX15590302	7042880	230991	125	137536	0	0	0	0	0	0	0	0	0	6627115	47014	99	3.2797804307328824	7042880.0	6905344.0	98.05	137536.0	1.95	SRX15590302_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7042880.0	0.0	20-100	54.0	23.22345469874626	96.07070289427053	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7202205	2212230	7202205	720220500	36614910	679715090	5.624029029998452	1.0	0.0	0.0		
SRX15590303	7070903	193026	214	148394	0	0	0	0	0	0	0	0	0	6687929	41268	72	2.729863498339604	7070903.0	6922509.0	97.9	148394.0	2.1	SRX15590303_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7070903.0	0.0	20-100	54.0	23.10638068151928	95.936190328166	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7262567	2209326	7262567	726256700	40891240	681574136	6.152447750223853	0.5	0.0	0.5		
SRX15590304	6869606	3944642	36911	1442515	0	0	0	0	0	0	0	0	0	1182370	261152	2016	57.42166290177341	6869606.0	5427091.0	79.0	1442515.0	21.0	SRX15590304_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6869606.0	0.0	20-100	54.0	29.79547524367924	95.97784356191607	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7036951	2069149	7036951	703695100	38496664	662333909	5.877714794376144	0.0	0.2	0.8		
SRX15590305	6758127	4795565	26374	135612	0	0	0	0	0	0	0	0	0	1487148	309003	4425	70.95997160159908	6758127.0	6622515.0	97.99	135612.0	2.01	SRX15590305_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6758127.0	0.0	20-100	54.0	23.7309069784474	95.7303661206722	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6941341	2130531	6941341	694134100	40178133	650075711	6.3472445742112376	0.0	0.0	1.0		
SRX15590306	6699604	4803643	30630	144382	0	0	0	0	0	0	0	0	0	1408501	307954	4494	71.7004019939089	6699604.0	6555222.0	97.84	144382.0	2.16	SRX15590306_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6699604.0	0.0	20-100	55.0	23.353710701138517	95.86390359788427	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6894458	2117606	6894458	689445800	40019174	645333823	6.398179088189384					
SRX15590307	5916773	4364684	24317	121607	0	0	0	0	0	0	0	0	0	1124702	277119	4344	73.76798129656149	5916773.0	5795166.0	97.94	121607.0	2.06	SRX15590307_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5916773.0	0.0	20-100	55.0	25.84382271626809	95.77380305108883	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6065989	1830661	6065989	606598900	34657456	569369977	6.1373212183536765	0.0	0.0	1.0		
SRX15590308	7000688	4823784	35881	139625	0	0	0	0	0	0	0	0	0	1674795	322225	4378	68.90442767910811	7000688.0	6861063.0	98.01	139625.0	1.99	SRX15590308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7000688.0	0.0	20-100	54.0	22.535003328449637	95.96638330404096	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7187072	2228940	7187072	718707200	39536299	675024007	6.078023567872981					
SRX15590309	6701834	4672498	45019	159099	0	0	0	0	0	0	0	0	0	1519912	301135	4171	69.71969165455306	6701834.0	6542735.0	97.63	159099.0	2.37	SRX15590309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6701834.0	0.0	20-100	54.0	22.48546686041841	95.98155788400608	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6870817	2120358	6870817	687081700	36719722	646245922	5.943365687079135					
SRX15590310	6882776	4501510	29658	543344	0	0	0	0	0	0	0	0	0	1479406	327069	1789	65.4025352561234	6882776.0	6339432.0	92.11	543344.0	7.89	SRX15590310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6882776.0	0.0	20-100	54.0	26.029689451356408	95.96431962917288	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7045051	2119446	7045051	704505100	37995617	663552193	5.813003624814072	0.0	0.5	0.5		
SRX15590311	7580689	4527930	26279	158335	0	0	0	0	0	0	0	0	0	2567919	294453	5773	59.729795009398224	7580689.0	7422354.0	97.91	158335.0	2.09	SRX15590311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7580689.0	0.0	20-100	53.0	22.894782623487338	96.14744095160744	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7761056	2491854	7761056	776105600	39358726	732194679	5.657853905447919	0.0	0.0	1.0		
SRX15590312	8609673	4811606	56025	218474	0	0	0	0	0	0	0	0	0	3215175	302497	5896	55.8860481693091	8609673.0	8391199.0	97.46	218474.0	2.54	SRX15590312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8609673.0	0.0	20-100	53.0	20.01308196468364	96.11968816934164	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	8835840	2904048	8835840	883584000	46811432	831445797	5.900763594632768	0.0	0.0	1.0		
SRX15590313	7738940	5021690	25671	143826	0	0	0	0	0	0	0	0	0	2221082	320272	6399	64.88860231504573	7738940.0	7595114.0	98.14	143826.0	1.86	SRX15590313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7738940.0	0.0	20-100	54.0	22.73867022550939	96.0470141905739	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7932133	2446667	7932133	793213300	43033672	746761086	5.85620715134252	0.0	0.0	1.0		
SRX15590314	7392133	3901846	22200	164224	0	0	0	0	0	0	0	0	0	3044091	255226	4546	52.78376349559728	7392133.0	7227909.0	97.78	164224.0	2.22	SRX15590314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7392133.0	0.0	20-100	53.0	21.38786239898952	96.0783505924474	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7589074	2550032	7589074	758907400	40292169	713590870	5.971285824858211					
SRX15590315	7767436	5026656	138931	162928	0	0	0	0	0	0	0	0	0	2151143	282640	5138	64.71448235942981	7767436.0	7604508.0	97.9	162928.0	2.1	SRX15590315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7767436.0	0.0	20-100	54.0	22.34672652487981	96.0400142337832	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	7944482	2510227	7944482	794448200	41447324	749411299	5.668953746764107					
SRX15590316	6527666	4401988	14469	126000	0	0	0	0	0	0	0	0	0	1691516	288440	5253	67.4358645188035	6527666.0	6401666.0	98.07	126000.0	1.93	SRX15590316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6527666.0	0.0	20-100	54.0	25.84023157031646	96.06317878396352	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	6655283	2062569	6655283	665528300	32780242	629870102	5.357878545510387	0.0	0.0	1.0		
SRX15590317	7116554	3169496	58024	149683	0	0	0	0	0	0	0	0	0	3532563	202738	4050	44.53694864115413	7116554.0	6966871.0	97.9	149683.0	2.1	SRX15590317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7116554.0	0.0	20-100	52.0	19.8638775685152	96.2724357884448	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7283463	2550245	7283463	728346300	35637713	688324095	5.4949417605334165	0.0	0.0	1.0		
SRX15590318	6948799	2565358	53388	152723	0	0	0	0	0	0	0	0	0	3999507	174403	3420	36.91800554311616	6948799.0	6796076.0	97.8	152723.0	2.2	SRX15590318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6948799.0	0.0	20-100	51.0	17.621795841332773	96.39092338114833	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7090785	2577375	7090785	709078500	32460794	672936101	5.097094186327747	0.0	0.0	1.0		
SRX15590319	6930838	2862428	30460	137787	0	0	0	0	0	0	0	0	0	3704060	192117	3986	41.29988321758494	6930838.0	6793051.0	98.01	137787.0	1.99	SRX15590319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6930838.0	0.0	20-100	51.0	19.769824078601097	96.38104108045808	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	7074859	2532236	7074859	707485900	32810944	671101122	5.142827298748993	0.0	0.0	1.0		
SRX15947806	9514921	5535990	1647123	389875	0	0	0	0	118691	0	0	0	0	1454681	292294	76267	58.1821961527584	9514921.0	9125046.0	95.9	389875.0	4.1	SRX15947806_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9514921.0	0.0	20-51	54.0	21.84635511736915	50.50354017652905	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	9537648	3062936	9537648	486420048	240402	481215883	1.069891140671077			0.5639	0.1357	0.3004
SRX15947807	12751861	9606787	645489	772288	0	0	0	0	320670	0	0	0	0	520098	614832	271697	75.33635286645612	12751861.0	11979573.0	93.94	772288.0	6.06	SRX15947807_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12751861.0	0.0	20-51	55.0	29.79161377909227	50.55959659535185	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	2.6	12780501	3752682	12780501	651805551	370755	645694918	0.9374932432878282			0.6367	0.1683	0.195
SRX15947808	12588392	7692508	1529833	396387	0	0	0	0	167078	0	0	0	0	2270600	423781	108205	61.1079477029314	12588392.0	12192005.0	96.85	396387.0	3.15	SRX15947808_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12588392.0	0.0	20-51	54.0	20.95715543271836	50.51593197923928	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	12616750	3807597	12616750	643454250	1596360	636305650	1.110972536120478			0.535	0.1233	0.3416
SRX15947809	9071300	5471904	985377	292833	0	0	0	0	119140	0	0	0	0	1797489	312164	92393	60.32105651891128	9071300.0	8778467.0	96.77	292833.0	3.23	SRX15947809_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9071300.0	0.0	20-51	55.0	22.76018041225637	50.50556557494516	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	9087374	2879447	9087374	463456074	217615	458810730	1.002326705939342			0.526	0.1446	0.3293
SRX15947810	11329696	6778310	2150448	255763	0	0	0	0	162224	0	0	0	0	1505231	358894	118826	59.82781885762866	11329696.0	11073933.0	97.74	255763.0	2.26	SRX15947810_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11329696.0	0.0	20-51	54.0	16.882177083410525	50.52537473203164	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11349970	3858610	11349970	578848470	252969	572807794	1.0435677578969846			0.4113	0.0955	0.4932
SRX15947812	11668109	6807708	2211302	326514	0	0	0	0	236649	0	0	0	0	1522659	406028	157249	58.34456980132771	11668109.0	11341595.0	97.2	326514.0	2.8	SRX15947812_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11668109.0	0.0	20-51	54.0	16.507249019020684	50.51077145405481	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	11690204	3436408	11690204	596200404	1505130	589633024	1.1015390053308316			0.472	0.0922	0.4358
SRX15947813	10177084	5645067	2364033	394365	0	0	0	0	202006	0	0	0	0	1102200	328263	141150	55.46841315252974	10177084.0	9782719.0	96.12	394365.0	3.88	SRX15947813_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10177084.0	0.0	20-51	54.0	14.162801610381068	50.51468799903784	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	10203070	3376983	10203070	520356570	234066	515341788	0.9637203197030836			0.4255	0.0589	0.5156
SRX15947814	9492312	5128042	2275192	336105	0	0	0	0	167636	0	0	0	0	1171321	299183	114833	54.02310838497512	9492312.0	9156207.0	96.46	336105.0	3.54	SRX15947814_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9492312.0	0.0	20-51	54.0	18.86914973215748	50.46979903315441	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	9519981	3082767	9519981	485519031	232148	480465162	1.040920886168106			0.4746	0.0976	0.4278
SRX15947815	8780357	6895079	295433	476437	0	0	0	0	167403	0	0	0	0	335034	421768	189203	78.52845846700767	8780357.0	8303920.0	94.57	476437.0	5.43	SRX15947815_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8780357.0	0.0	20-51	55.0	36.062839436505605	50.50783538755884	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	2.6	8803111	2649590	8803111	448958661	1340356	443817822	1.1450584311146634			0.6363	0.1816	0.182
SRX15947816	9835808	7667886	433479	555799	0	0	0	0	159344	0	0	0	0	382186	465088	172026	77.95888248326929	9835808.0	9280009.0	94.35	555799.0	5.65	SRX15947816_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9835808.0	0.0	20-51	55.0	32.68544993117181	50.49724232111892	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	9875635	2908352	9875635	503657385	320295	498197739	1.0839999893975545			0.655	0.1628	0.1822
